cidade,data,precipitacao,temperatura,umidade,vento,ano,bairro
ALEGRETE,2014-10-11,0.0,15.75,80.91666666666667,3.0,2014,ALEGRETE
ALEGRETE,2014-10-12,0.0,19.5,85.29166666666667,2.3333333333333335,2014,ALEGRETE
ALEGRETE,2014-10-13,0.0,17.666666666666668,84.83333333333333,3.3333333333333335,2014,ALEGRETE
ALEGRETE,2014-10-14,0.0,22.0,77.29166666666667,3.0,2014,ALEGRETE
ALEGRETE,2014-10-15,0.0,20.666666666666668,76.875,3.0,2014,ALEGRETE
ALEGRETE,2014-10-16,0.0,24.666666666666668,70.16666666666667,1.0,2014,ALEGRETE
ALEGRETE,2014-10-17,0.0,24.0,79.125,4.0,2014,ALEGRETE
ALEGRETE,2014-10-18,0.0,20.0,77.79166666666667,4.0,2014,ALEGRETE
ALEGRETE,2014-10-19,11.0,19.5,85.95833333333333,3.0,2014,ALEGRETE
ALEGRETE,2014-10-20,0.0,25.0,62.541666666666664,2.0,2014,ALEGRETE
ALEGRETE,2014-10-21,0.0,21.0,63.375,2.25,2014,ALEGRETE
ALEGRETE,2014-10-22,0.0,18.333333333333332,61.208333333333336,1.0,2014,ALEGRETE
ALEGRETE,2014-10-23,0.0,25.0,56.541666666666664,1.0,2014,ALEGRETE
ALEGRETE,2014-10-24,0.0,21.666666666666668,63.041666666666664,,2014,ALEGRETE
ALEGRETE,2014-10-25,0.0,25.5,68.625,3.0,2014,ALEGRETE
ALEGRETE,2014-10-26,0.0,26.0,69.29166666666667,,2014,ALEGRETE
ALEGRETE,2014-10-27,0.0,33.0,65.54166666666667,2.5,2014,ALEGRETE
ALEGRETE,2014-10-28,0.0,27.5,58.0,1.0,2014,ALEGRETE
ALEGRETE,2014-10-29,0.0,30.0,59.666666666666664,1.8,2014,ALEGRETE
